00077   1   2   8   6   3   9   +   0
00078   3   4   6   0   8   9   +   7
00079   3   2   2   4   7   7   +   0
00080   2   3   5   9   0   8   +   2
00081   5   1   4   0   7   1   +   4
00082   4   9   2   3   3   7   +   1
00083   9   1   3   5   5   6   +   9
00084   6   8   4   7   4   7   +   7
00085   3   2   8   2   8   5   +   4
00086   4   8   0   4   8   1   +   9
00087   9   2   5   7   5   9   +   9
00088   2   0   3   2   8   5   +   1
00089   2   0   2   5   7   1   +   9
00090   9   4   6   8   0   3   +   1
00091   3   2   0   3   7   2   +   7
00092   5   0   1   6   9   9   +   9
00093   8   5   2   2   0   3   +   3
00094   5   8   3   2   8   6   +   1
00095   5   6   6   2   3   4   +   4
00096   6   9   7   0   7   9   +   9
00097   1   6   9   2   8   2   +   1
00098   3   7   2   9   6   4   +   5
00099   8   7   5   9   9   3   +   7
01001   9   8   3   8   0   1   +   5
01002   5   0   2   1   5   9   +   7
01003   7   1   9   2   0   9   +   0
01004   4   0   1   7   9   8   +   1
01005   0   3   6   2   3   8   +   7
01006   1   6   2   9   5   7   +   4
01007   3   9   3   4   3   0   +   6
01008   2   4   6   9   2   7   +   7
01009   4   2   7   9   1   2   +   0
01010   4   5   3   2   6   0   +   0
01011   2   0   1   8   8   0   +   1
01012   1   0   4   7   6   8   +   6
01013   7   8   6   4   1   2   +   2
01014   0   2   0   8   2   1   +   7
01015   8   8   3   4   2   8   +   7
01016   0   9   3   1   1   5   +   9
01017   8   0   1   5   9   9   +   4
01018   8   9   4   0   1   3   +   8
01019   9   0   0   5   7   9   +   4
01020   5   6   8   6   0   8   +   4
01021   4   2   9   4   4   4   +   8
01022   1   2   7   3   6   2   +   6
01023   8   6   7   9   2   2   +   0
01024   9   9   1   7   6   1   +   9
01025   6   7   8   3   2   0   +   1
01026   4   4   9   3   8   7   +   9
01027   9   1   8   0   8   1   +   5
01028   8   0   8   7   4   0   +   0
01029   5   7   8   9   1   8   +   8
01030   1   0   9   5   7   3   +   6
01031   5   7   7   6   6   7   +   8
01032   9   0   8   8   1   1   +   3
01033   3   3   2   4   3   9   +   5
01034   5   7   1   8   3   3   +   1
01035   4   7   7   5   7   0   +   8
01036   4   0   8   7   5   9   +   8
01037   1   7   0   7   9   4   +   4
01038   4   7   9   6   4   5   +   4
01039   8   5   4   0   6   7   +   3
01040   8   2   9   1   5   1   +   1
01041   4   7   0   1   0   5   +   5
01042   1   9   7   8   3   1   +   5
01043   6   0   7   6   5   3   +   8
01044   9   8   9   0   1   4   +   0
01045   6   7   4   8   6   2   +   5
